Census,School Name,Category,Year Level,Students
20 February 2019,Evatt Primary School,Gov,Year 1,46
03 August 2018,Evatt Primary School,Gov,Year 1,46
21 February 2018,Evatt Primary School,Gov,Year 1,47
04 August 2017,Evatt Primary School,Gov,Year 1,29
15 February 2017,Evatt Primary School,Gov,Year 1,32
05 August 2016,Evatt Primary School,Gov,Year 1,46
17 February 2016,Evatt Primary School,Gov,Year 1,46
07 August 2015,Evatt Primary School,Gov,Year 1,35
18 February 2015,Evatt Primary School,Gov,Year 1,34
01 August 2014,Evatt Primary School,Gov,Year 1,38
19 February 2014,Evatt Primary School,Gov,Year 1,35
01 August 2013,Evatt Primary School,Gov,Year 1,41
01 February 2013,Evatt Primary School,Gov,Year 1,41
01 August 2012,Evatt Primary School,Gov,Year 1,49
01 February 2012,Evatt Primary School,Gov,Year 1,46
01 August 2011,Evatt Primary School,Gov,Year 1,39
01 February 2011,Evatt Primary School,Gov,Year 1,39
01 August 2010,Evatt Primary School,Gov,Year 1,42
01 February 2010,Evatt Primary School,Gov,Year 1,41
01 August 2009,Evatt Primary School,Gov,Year 1,40
01 February 2009,Evatt Primary School,Gov,Year 1,40
10 February 2023,Evatt Primary School,Gov,Year 2,32
05 August 2022,Evatt Primary School,Gov,Year 2,50
18 February 2022,Evatt Primary School,Gov,Year 2,50
06 August 2021,Evatt Primary School,Gov,Year 2,41
19 February 2021,Evatt Primary School,Gov,Year 2,42
07 August 2020,Evatt Primary School,Gov,Year 2,48
19 February 2020,Evatt Primary School,Gov,Year 2,47
02 August 2019,Evatt Primary School,Gov,Year 2,48
20 February 2019,Evatt Primary School,Gov,Year 2,49
03 August 2018,Evatt Primary School,Gov,Year 2,26
21 February 2018,Evatt Primary School,Gov,Year 2,26
04 August 2017,Evatt Primary School,Gov,Year 2,44
15 February 2017,Evatt Primary School,Gov,Year 2,42
05 August 2016,Evatt Primary School,Gov,Year 2,34
17 February 2016,Evatt Primary School,Gov,Year 2,37
07 August 2015,Evatt Primary School,Gov,Year 2,40
18 February 2015,Evatt Primary School,Gov,Year 2,40
01 August 2014,Evatt Primary School,Gov,Year 2,40
19 February 2014,Evatt Primary School,Gov,Year 2,39
01 August 2013,Evatt Primary School,Gov,Year 2,50
01 February 2013,Evatt Primary School,Gov,Year 2,49
01 August 2012,Evatt Primary School,Gov,Year 2,37
01 February 2012,Evatt Primary School,Gov,Year 2,40
01 August 2011,Evatt Primary School,Gov,Year 2,41
01 February 2011,Evatt Primary School,Gov,Year 2,42
01 August 2010,Evatt Primary School,Gov,Year 2,40
01 February 2010,Evatt Primary School,Gov,Year 2,41
01 August 2009,Evatt Primary School,Gov,Year 2,50
01 February 2009,Evatt Primary School,Gov,Year 2,47
10 February 2023,Evatt Primary School,Gov,Year 3,48
05 August 2022,Evatt Primary School,Gov,Year 3,38
18 February 2022,Evatt Primary School,Gov,Year 3,39
06 August 2021,Evatt Primary School,Gov,Year 3,46
19 February 2021,Evatt Primary School,Gov,Year 3,47
07 August 2020,Evatt Primary School,Gov,Year 3,49
19 February 2020,Evatt Primary School,Gov,Year 3,47
02 August 2019,Evatt Primary School,Gov,Year 3,26
20 February 2019,Evatt Primary School,Gov,Year 3,27
03 August 2018,Evatt Primary School,Gov,Year 3,44
21 February 2018,Evatt Primary School,Gov,Year 3,46
04 August 2017,Evatt Primary School,Gov,Year 3,31
15 February 2017,Evatt Primary School,Gov,Year 3,34
05 August 2016,Evatt Primary School,Gov,Year 3,41
17 February 2016,Evatt Primary School,Gov,Year 3,42
07 August 2015,Evatt Primary School,Gov,Year 3,40
18 February 2015,Evatt Primary School,Gov,Year 3,37
01 August 2014,Evatt Primary School,Gov,Year 3,43
19 February 2014,Evatt Primary School,Gov,Year 3,45
01 August 2013,Evatt Primary School,Gov,Year 3,38
01 February 2013,Evatt Primary School,Gov,Year 3,37
01 August 2012,Evatt Primary School,Gov,Year 3,40
01 February 2012,Evatt Primary School,Gov,Year 3,37
01 August 2011,Evatt Primary School,Gov,Year 3,35
01 February 2011,Evatt Primary School,Gov,Year 3,33
01 August 2010,Evatt Primary School,Gov,Year 3,51
01 February 2010,Evatt Primary School,Gov,Year 3,51
01 August 2009,Evatt Primary School,Gov,Year 3,48
01 February 2009,Evatt Primary School,Gov,Year 3,48
10 February 2023,Evatt Primary School,Gov,Year 4,39
05 August 2022,Evatt Primary School,Gov,Year 4,46
18 February 2022,Evatt Primary School,Gov,Year 4,47
06 August 2021,Evatt Primary School,Gov,Year 4,40
19 February 2021,Evatt Primary School,Gov,Year 4,47
07 August 2020,Evatt Primary School,Gov,Year 4,29
19 February 2020,Evatt Primary School,Gov,Year 4,27
02 August 2019,Evatt Primary School,Gov,Year 4,45
20 February 2019,Evatt Primary School,Gov,Year 4,42
03 August 2018,Evatt Primary School,Gov,Year 4,30
21 February 2018,Evatt Primary School,Gov,Year 4,30
04 August 2017,Evatt Primary School,Gov,Year 4,36
15 February 2017,Evatt Primary School,Gov,Year 4,38
05 August 2016,Evatt Primary School,Gov,Year 4,41
17 February 2016,Evatt Primary School,Gov,Year 4,43
07 August 2015,Evatt Primary School,Gov,Year 4,42
18 February 2015,Evatt Primary School,Gov,Year 4,44
01 August 2014,Evatt Primary School,Gov,Year 4,33
19 February 2014,Evatt Primary School,Gov,Year 4,35
01 August 2013,Evatt Primary School,Gov,Year 4,36
01 February 2013,Evatt Primary School,Gov,Year 4,35
01 August 2012,Evatt Primary School,Gov,Year 4,35
01 February 2012,Evatt Primary School,Gov,Year 4,36
01 August 2011,Evatt Primary School,Gov,Year 4,50
01 February 2011,Evatt Primary School,Gov,Year 4,51
01 August 2010,Evatt Primary School,Gov,Year 4,50
01 February 2010,Evatt Primary School,Gov,Year 4,50
01 August 2009,Evatt Primary School,Gov,Year 4,27
01 February 2009,Evatt Primary School,Gov,Year 4,25
10 February 2023,Evatt Primary School,Gov,Year 5,40
05 August 2022,Evatt Primary School,Gov,Year 5,40
18 February 2022,Evatt Primary School,Gov,Year 5,43
06 August 2021,Evatt Primary School,Gov,Year 5,24
19 February 2021,Evatt Primary School,Gov,Year 5,27
07 August 2020,Evatt Primary School,Gov,Year 5,46
19 February 2020,Evatt Primary School,Gov,Year 5,45
02 August 2019,Evatt Primary School,Gov,Year 5,28
20 February 2019,Evatt Primary School,Gov,Year 5,29
03 August 2018,Evatt Primary School,Gov,Year 5,40
21 February 2018,Evatt Primary School,Gov,Year 5,40
04 August 2017,Evatt Primary School,Gov,Year 5,39
15 February 2017,Evatt Primary School,Gov,Year 5,39
05 August 2016,Evatt Primary School,Gov,Year 5,44
17 February 2016,Evatt Primary School,Gov,Year 5,43
07 August 2015,Evatt Primary School,Gov,Year 5,35
18 February 2015,Evatt Primary School,Gov,Year 5,34
01 August 2014,Evatt Primary School,Gov,Year 5,32
19 February 2014,Evatt Primary School,Gov,Year 5,35
01 August 2013,Evatt Primary School,Gov,Year 5,38
01 February 2013,Evatt Primary School,Gov,Year 5,36
01 August 2012,Evatt Primary School,Gov,Year 5,47
01 February 2012,Evatt Primary School,Gov,Year 5,45
01 August 2011,Evatt Primary School,Gov,Year 5,47
01 February 2011,Evatt Primary School,Gov,Year 5,47
01 August 2010,Evatt Primary School,Gov,Year 5,28
01 February 2010,Evatt Primary School,Gov,Year 5,27
01 August 2009,Evatt Primary School,Gov,Year 5,53
01 February 2009,Evatt Primary School,Gov,Year 5,51
10 February 2023,Evatt Primary School,Gov,Year 6,42
05 August 2022,Evatt Primary School,Gov,year 6,26
18 February 2022,Evatt Primary School,Gov,year 6,26
06 August 2021,Evatt Primary School,Gov,Year 6,43
19 February 2021,Evatt Primary School,Gov,year 6,44
07 August 2020,Evatt Primary School,Gov,year 6,29
19 February 2020,Evatt Primary School,Gov,year 6,29
02 August 2019,Evatt Primary School,Gov,Year 6,39
20 February 2019,Evatt Primary School,Gov,Year 6,37
03 August 2018,Evatt Primary School,Gov,Year 6,39
21 February 2018,Evatt Primary School,Gov,Year 6,37
04 August 2017,Evatt Primary School,Gov,Year 6,44
15 February 2017,Evatt Primary School,Gov,Year 6,43
05 August 2016,Evatt Primary School,Gov,Year 6,34
17 February 2016,Evatt Primary School,Gov,Year 6,36
07 August 2015,Evatt Primary School,Gov,Year 6,31
18 February 2015,Evatt Primary School,Gov,Year 6,30
01 August 2014,Evatt Primary School,Gov,Year 6,34
19 February 2014,Evatt Primary School,Gov,Year 6,35
01 August 2013,Evatt Primary School,Gov,Year 6,46
01 February 2013,Evatt Primary School,Gov,Year 6,47
01 August 2012,Evatt Primary School,Gov,Year 6,49
01 February 2012,Evatt Primary School,Gov,Year 6,49
01 August 2011,Evatt Primary School,Gov,Year 6,30
01 February 2011,Evatt Primary School,Gov,Year 6,30
01 August 2010,Evatt Primary School,Gov,Year 6,48
01 February 2010,Evatt Primary School,Gov,Year 6,49
01 August 2009,Evatt Primary School,Gov,Year 6,38
01 February 2009,Evatt Primary School,Gov,Year 6,39
10 February 2023,Evelyn Scott School,Gov,Kindergarten,71
05 August 2022,Evelyn Scott School,Gov,Kindergarten,65
18 February 2022,Evelyn Scott School,Gov,Kindergarten,61
06 August 2021,Evelyn Scott School,Gov,Kindergarten,36
19 February 2021,Evelyn Scott School,Gov,Kindergarten,34
10 February 2023,Evelyn Scott School,Gov,Preschool,1
10 February 2023,Evelyn Scott School,Gov,Preschool,86
05 August 2022,Evelyn Scott School,Gov,Preschool,63
18 February 2022,Evelyn Scott School,Gov,Preschool,60
06 August 2021,Evelyn Scott School,Gov,Preschool,67
19 February 2021,Evelyn Scott School,Gov,Preschool,64
10 February 2023,Evelyn Scott School,Gov,Year 1,72
05 August 2022,Evelyn Scott School,Gov,Year 1,35
18 February 2022,Evelyn Scott School,Gov,Year 1,37
06 August 2021,Evelyn Scott School,Gov,Year 1,33
19 February 2021,Evelyn Scott School,Gov,Year 1,31
10 February 2023,Evelyn Scott School,Gov,Year 10,10
10 February 2023,Evelyn Scott School,Gov,Year 2,45
05 August 2022,Evelyn Scott School,Gov,Year 2,44
18 February 2022,Evelyn Scott School,Gov,Year 2,45
06 August 2021,Evelyn Scott School,Gov,Year 2,23
19 February 2021,Evelyn Scott School,Gov,Year 2,21
10 February 2023,Evelyn Scott School,Gov,Year 3,63
05 August 2022,Evelyn Scott School,Gov,Year 3,26
18 February 2022,Evelyn Scott School,Gov,Year 3,25
06 August 2021,Evelyn Scott School,Gov,Year 3,17
19 February 2021,Evelyn Scott School,Gov,Year 3,14
10 February 2023,Evelyn Scott School,Gov,Year 4,35
05 August 2022,Evelyn Scott School,Gov,Year 4,26
18 February 2022,Evelyn Scott School,Gov,Year 4,29
06 August 2021,Evelyn Scott School,Gov,Year 4,14
19 February 2021,Evelyn Scott School,Gov,Year 4,12
10 February 2023,Evelyn Scott School,Gov,Year 5,37
05 August 2022,Evelyn Scott School,Gov,Year 5,19
18 February 2022,Evelyn Scott School,Gov,Year 5,18
06 August 2021,Evelyn Scott School,Gov,Year 5,16
19 February 2021,Evelyn Scott School,Gov,Year 5,12
10 February 2023,Evelyn Scott School,Gov,Year 6,30
05 August 2022,Evelyn Scott School,Gov,year 6,24
18 February 2022,Evelyn Scott School,Gov,year 6,24
10 February 2023,Evelyn Scott School,Gov,Year 7,63
10 February 2023,Evelyn Scott School,Gov,Year 8,22
10 February 2023,Evelyn Scott School,Gov,Year 9,21
10 February 2023,Fadden Primary School,Gov,Kindergarten,32
05 August 2022,Fadden Primary School,Gov,Kindergarten,41
18 February 2022,Fadden Primary School,Gov,Kindergarten,40
06 August 2021,Fadden Primary School,Gov,Kindergarten,44
19 February 2021,Fadden Primary School,Gov,Kindergarten,42
07 August 2020,Fadden Primary School,Gov,Kindergarten,41
19 February 2020,Fadden Primary School,Gov,Kindergarten,43
02 August 2019,Fadden Primary School,Gov,Kindergarten,42
20 February 2019,Fadden Primary School,Gov,Kindergarten,40
03 August 2018,Fadden Primary School,Gov,Kindergarten,44
21 February 2018,Fadden Primary School,Gov,Kindergarten,43
04 August 2017,Fadden Primary School,Gov,Kindergarten,37
15 February 2017,Fadden Primary School,Gov,Kindergarten,35
05 August 2016,Fadden Primary School,Gov,Kindergarten,40
17 February 2016,Fadden Primary School,Gov,Kindergarten,42
07 August 2015,Fadden Primary School,Gov,Kindergarten,51
18 February 2015,Fadden Primary School,Gov,Kindergarten,52
01 August 2014,Fadden Primary School,Gov,Kindergarten,54
19 February 2014,Fadden Primary School,Gov,Kindergarten,52
01 August 2013,Fadden Primary School,Gov,Kindergarten,48
01 February 2013,Fadden Primary School,Gov,Kindergarten,48
01 August 2012,Fadden Primary School,Gov,Kindergarten,55
01 February 2012,Fadden Primary School,Gov,Kindergarten,54
01 August 2011,Fadden Primary School,Gov,Kindergarten,41
01 February 2011,Fadden Primary School,Gov,Kindergarten,41
01 August 2010,Fadden Primary School,Gov,Kindergarten,43
01 February 2010,Fadden Primary School,Gov,Kindergarten,39
01 August 2009,Fadden Primary School,Gov,Kindergarten,40
01 February 2009,Fadden Primary School,Gov,Kindergarten,40
10 February 2023,Fadden Primary School,Gov,Preschool,42
05 August 2022,Fadden Primary School,Gov,Preschool,36
18 February 2022,Fadden Primary School,Gov,Preschool,36
06 August 2021,Fadden Primary School,Gov,Preschool,44
19 February 2021,Fadden Primary School,Gov,Preschool,43
07 August 2020,Fadden Primary School,Gov,Preschool,43
19 February 2020,Fadden Primary School,Gov,Preschool,43
02 August 2019,Fadden Primary School,Gov,Preschool,43
20 February 2019,Fadden Primary School,Gov,Preschool,44
03 August 2018,Fadden Primary School,Gov,Preschool,39
21 February 2018,Fadden Primary School,Gov,Preschool,41
04 August 2017,Fadden Primary School,Gov,Preschool,43
15 February 2017,Fadden Primary School,Gov,Preschool,41
05 August 2016,Fadden Primary School,Gov,Preschool,43
17 February 2016,Fadden Primary School,Gov,Preschool,38
07 August 2015,Fadden Primary School,Gov,Preschool,43
18 February 2015,Fadden Primary School,Gov,Preschool,42
01 August 2014,Fadden Primary School,Gov,Preschool,48
19 February 2014,Fadden Primary School,Gov,Preschool,47
01 August 2013,Fadden Primary School,Gov,Preschool,42
01 February 2013,Fadden Primary School,Gov,Preschool,44
01 August 2012,Fadden Primary School,Gov,Preschool,44
01 February 2012,Fadden Primary School,Gov,Preschool,43
01 August 2011,Fadden Primary School,Gov,Preschool,49
01 February 2011,Fadden Primary School,Gov,Preschool,48
01 August 2010,Fadden Primary School,Gov,Preschool,47
01 February 2010,Fadden Primary School,Gov,Preschool,45
01 August 2009,Fadden Primary School,Gov,Preschool,45
01 February 2009,Fadden Primary School,Gov,Preschool,43
10 February 2023,Fadden Primary School,Gov,Year 1,41
05 August 2022,Fadden Primary School,Gov,Year 1,45
18 February 2022,Fadden Primary School,Gov,Year 1,43
06 August 2021,Fadden Primary School,Gov,Year 1,41
19 February 2021,Fadden Primary School,Gov,Year 1,42
07 August 2020,Fadden Primary School,Gov,Year 1,45
19 February 2020,Fadden Primary School,Gov,Year 1,45
02 August 2019,Fadden Primary School,Gov,Year 1,43
20 February 2019,Fadden Primary School,Gov,Year 1,43
03 August 2018,Fadden Primary School,Gov,Year 1,31
21 February 2018,Fadden Primary School,Gov,Year 1,33
04 August 2017,Fadden Primary School,Gov,Year 1,40
15 February 2017,Fadden Primary School,Gov,Year 1,39
05 August 2016,Fadden Primary School,Gov,Year 1,50
17 February 2016,Fadden Primary School,Gov,Year 1,48
07 August 2015,Fadden Primary School,Gov,Year 1,62
18 February 2015,Fadden Primary School,Gov,Year 1,60
01 August 2014,Fadden Primary School,Gov,Year 1,44
19 February 2014,Fadden Primary School,Gov,Year 1,46
01 August 2013,Fadden Primary School,Gov,Year 1,57
01 February 2013,Fadden Primary School,Gov,Year 1,59
01 August 2012,Fadden Primary School,Gov,Year 1,43
01 February 2012,Fadden Primary School,Gov,Year 1,42
01 August 2011,Fadden Primary School,Gov,Year 1,45
01 February 2011,Fadden Primary School,Gov,Year 1,43
01 August 2010,Fadden Primary School,Gov,Year 1,35
01 February 2010,Fadden Primary School,Gov,Year 1,37
01 August 2009,Fadden Primary School,Gov,Year 1,44
01 February 2009,Fadden Primary School,Gov,Year 1,45
10 February 2023,Fadden Primary School,Gov,Year 2,40
05 August 2022,Fadden Primary School,Gov,Year 2,42
18 February 2022,Fadden Primary School,Gov,Year 2,43
06 August 2021,Fadden Primary School,Gov,Year 2,41
19 February 2021,Fadden Primary School,Gov,Year 2,42
07 August 2020,Fadden Primary School,Gov,Year 2,40
19 February 2020,Fadden Primary School,Gov,Year 2,42
02 August 2019,Fadden Primary School,Gov,Year 2,32
20 February 2019,Fadden Primary School,Gov,Year 2,31
03 August 2018,Fadden Primary School,Gov,Year 2,41
21 February 2018,Fadden Primary School,Gov,Year 2,40
04 August 2017,Fadden Primary School,Gov,Year 2,48
15 February 2017,Fadden Primary School,Gov,Year 2,46
05 August 2016,Fadden Primary School,Gov,Year 2,59
17 February 2016,Fadden Primary School,Gov,Year 2,59
07 August 2015,Fadden Primary School,Gov,Year 2,45
18 February 2015,Fadden Primary School,Gov,Year 2,44
01 August 2014,Fadden Primary School,Gov,Year 2,59
19 February 2014,Fadden Primary School,Gov,Year 2,57
01 August 2013,Fadden Primary School,Gov,Year 2,47
01 February 2013,Fadden Primary School,Gov,Year 2,46
01 August 2012,Fadden Primary School,Gov,Year 2,45
01 February 2012,Fadden Primary School,Gov,Year 2,45
01 August 2011,Fadden Primary School,Gov,Year 2,44
01 February 2011,Fadden Primary School,Gov,Year 2,40
01 August 2010,Fadden Primary School,Gov,Year 2,42
01 February 2010,Fadden Primary School,Gov,Year 2,39
01 August 2009,Fadden Primary School,Gov,Year 2,34
01 February 2009,Fadden Primary School,Gov,Year 2,32
10 February 2023,Fadden Primary School,Gov,Year 3,42
05 August 2022,Fadden Primary School,Gov,Year 3,38
18 February 2022,Fadden Primary School,Gov,Year 3,38
06 August 2021,Fadden Primary School,Gov,Year 3,33
19 February 2021,Fadden Primary School,Gov,Year 3,33
07 August 2020,Fadden Primary School,Gov,Year 3,35
19 February 2020,Fadden Primary School,Gov,Year 3,34
02 August 2019,Fadden Primary School,Gov,Year 3,40
20 February 2019,Fadden Primary School,Gov,Year 3,39
03 August 2018,Fadden Primary School,Gov,Year 3,44
21 February 2018,Fadden Primary School,Gov,Year 3,44
04 August 2017,Fadden Primary School,Gov,Year 3,52
15 February 2017,Fadden Primary School,Gov,Year 3,54
05 August 2016,Fadden Primary School,Gov,Year 3,46
17 February 2016,Fadden Primary School,Gov,Year 3,43
07 August 2015,Fadden Primary School,Gov,Year 3,61
18 February 2015,Fadden Primary School,Gov,Year 3,59
01 August 2014,Fadden Primary School,Gov,Year 3,43
19 February 2014,Fadden Primary School,Gov,Year 3,45
01 August 2013,Fadden Primary School,Gov,Year 3,42
01 February 2013,Fadden Primary School,Gov,Year 3,43
01 August 2012,Fadden Primary School,Gov,Year 3,40
01 February 2012,Fadden Primary School,Gov,Year 3,39
01 August 2011,Fadden Primary School,Gov,Year 3,42
01 February 2011,Fadden Primary School,Gov,Year 3,40
01 August 2010,Fadden Primary School,Gov,Year 3,33
01 February 2010,Fadden Primary School,Gov,Year 3,31
01 August 2009,Fadden Primary School,Gov,Year 3,44
01 February 2009,Fadden Primary School,Gov,Year 3,45
10 February 2023,Fadden Primary School,Gov,Year 4,36
05 August 2022,Fadden Primary School,Gov,Year 4,28
18 February 2022,Fadden Primary School,Gov,Year 4,28
06 August 2021,Fadden Primary School,Gov,Year 4,31
19 February 2021,Fadden Primary School,Gov,Year 4,32
07 August 2020,Fadden Primary School,Gov,Year 4,36
19 February 2020,Fadden Primary School,Gov,Year 4,38
02 August 2019,Fadden Primary School,Gov,Year 4,42
20 February 2019,Fadden Primary School,Gov,Year 4,43
03 August 2018,Fadden Primary School,Gov,Year 4,49
21 February 2018,Fadden Primary School,Gov,Year 4,51
04 August 2017,Fadden Primary School,Gov,Year 4,41
15 February 2017,Fadden Primary School,Gov,Year 4,41
05 August 2016,Fadden Primary School,Gov,Year 4,56
17 February 2016,Fadden Primary School,Gov,Year 4,56
07 August 2015,Fadden Primary School,Gov,Year 4,41
18 February 2015,Fadden Primary School,Gov,Year 4,43
01 August 2014,Fadden Primary School,Gov,Year 4,35
19 February 2014,Fadden Primary School,Gov,Year 4,37
01 August 2013,Fadden Primary School,Gov,Year 4,42
01 February 2013,Fadden Primary School,Gov,Year 4,41
01 August 2012,Fadden Primary School,Gov,Year 4,41
01 February 2012,Fadden Primary School,Gov,Year 4,42
01 August 2011,Fadden Primary School,Gov,Year 4,32
01 February 2011,Fadden Primary School,Gov,Year 4,33
01 August 2010,Fadden Primary School,Gov,Year 4,39
01 February 2010,Fadden Primary School,Gov,Year 4,39
01 August 2009,Fadden Primary School,Gov,Year 4,40
01 February 2009,Fadden Primary School,Gov,Year 4,42
10 February 2023,Fadden Primary School,Gov,Year 5,23
05 August 2022,Fadden Primary School,Gov,Year 5,33
18 February 2022,Fadden Primary School,Gov,Year 5,32
06 August 2021,Fadden Primary School,Gov,Year 5,30
19 February 2021,Fadden Primary School,Gov,Year 5,35
07 August 2020,Fadden Primary School,Gov,Year 5,43
19 February 2020,Fadden Primary School,Gov,Year 5,42
02 August 2019,Fadden Primary School,Gov,Year 5,49
20 February 2019,Fadden Primary School,Gov,Year 5,48
03 August 2018,Fadden Primary School,Gov,Year 5,42
21 February 2018,Fadden Primary School,Gov,Year 5,42
04 August 2017,Fadden Primary School,Gov,Year 5,55
15 February 2017,Fadden Primary School,Gov,Year 5,53
05 August 2016,Fadden Primary School,Gov,Year 5,40
17 February 2016,Fadden Primary School,Gov,Year 5,41
07 August 2015,Fadden Primary School,Gov,Year 5,37
18 February 2015,Fadden Primary School,Gov,Year 5,35
01 August 2014,Fadden Primary School,Gov,Year 5,39
19 February 2014,Fadden Primary School,Gov,Year 5,37
01 August 2013,Fadden Primary School,Gov,Year 5,34
01 February 2013,Fadden Primary School,Gov,Year 5,34
01 August 2012,Fadden Primary School,Gov,Year 5,30
01 February 2012,Fadden Primary School,Gov,Year 5,30
01 August 2011,Fadden Primary School,Gov,Year 5,38
01 February 2011,Fadden Primary School,Gov,Year 5,38
01 August 2010,Fadden Primary School,Gov,Year 5,43
01 February 2010,Fadden Primary School,Gov,Year 5,40
01 August 2009,Fadden Primary School,Gov,Year 5,44
01 February 2009,Fadden Primary School,Gov,Year 5,42
10 February 2023,Fadden Primary School,Gov,Year 6,30
05 August 2022,Fadden Primary School,Gov,year 6,22
18 February 2022,Fadden Primary School,Gov,year 6,25
06 August 2021,Fadden Primary School,Gov,Year 6,43
19 February 2021,Fadden Primary School,Gov,year 6,43
07 August 2020,Fadden Primary School,Gov,year 6,50
19 February 2020,Fadden Primary School,Gov,year 6,50
02 August 2019,Fadden Primary School,Gov,Year 6,41
20 February 2019,Fadden Primary School,Gov,Year 6,42
03 August 2018,Fadden Primary School,Gov,Year 6,56
21 February 2018,Fadden Primary School,Gov,Year 6,54
04 August 2017,Fadden Primary School,Gov,Year 6,37
15 February 2017,Fadden Primary School,Gov,Year 6,39
05 August 2016,Fadden Primary School,Gov,Year 6,35
17 February 2016,Fadden Primary School,Gov,Year 6,36
07 August 2015,Fadden Primary School,Gov,Year 6,36
18 February 2015,Fadden Primary School,Gov,Year 6,35
01 August 2014,Fadden Primary School,Gov,Year 6,31
19 February 2014,Fadden Primary School,Gov,Year 6,30
01 August 2013,Fadden Primary School,Gov,Year 6,31
01 February 2013,Fadden Primary School,Gov,Year 6,29
01 August 2012,Fadden Primary School,Gov,Year 6,37
01 February 2012,Fadden Primary School,Gov,Year 6,37
01 August 2011,Fadden Primary School,Gov,Year 6,41
01 February 2011,Fadden Primary School,Gov,Year 6,40
01 August 2010,Fadden Primary School,Gov,Year 6,41
01 February 2010,Fadden Primary School,Gov,Year 6,41
01 August 2009,Fadden Primary School,Gov,Year 6,40
01 February 2009,Fadden Primary School,Gov,Year 6,40
10 February 2023,Farrer Primary School,Gov,Kindergarten,41
05 August 2022,Farrer Primary School,Gov,Kindergarten,39
18 February 2022,Farrer Primary School,Gov,Kindergarten,38
06 August 2021,Farrer Primary School,Gov,Kindergarten,36
19 February 2021,Farrer Primary School,Gov,Kindergarten,37
07 August 2020,Farrer Primary School,Gov,Kindergarten,45
19 February 2020,Farrer Primary School,Gov,Kindergarten,47
02 August 2019,Farrer Primary School,Gov,Kindergarten,37
20 February 2019,Farrer Primary School,Gov,Kindergarten,39
03 August 2018,Farrer Primary School,Gov,Kindergarten,44
21 February 2018,Farrer Primary School,Gov,Kindergarten,44
04 August 2017,Farrer Primary School,Gov,Kindergarten,39
15 February 2017,Farrer Primary School,Gov,Kindergarten,41
05 August 2016,Farrer Primary School,Gov,Kindergarten,39
17 February 2016,Farrer Primary School,Gov,Kindergarten,40
07 August 2015,Farrer Primary School,Gov,Kindergarten,44
18 February 2015,Farrer Primary School,Gov,Kindergarten,46
01 August 2014,Farrer Primary School,Gov,Kindergarten,40
19 February 2014,Farrer Primary School,Gov,Kindergarten,41
01 August 2013,Farrer Primary School,Gov,Kindergarten,38
01 February 2013,Farrer Primary School,Gov,Kindergarten,38
01 August 2012,Farrer Primary School,Gov,Kindergarten,45
01 February 2012,Farrer Primary School,Gov,Kindergarten,42
01 August 2011,Farrer Primary School,Gov,Kindergarten,44
01 February 2011,Farrer Primary School,Gov,Kindergarten,44
01 August 2010,Farrer Primary School,Gov,Kindergarten,31
01 February 2010,Farrer Primary School,Gov,Kindergarten,32
01 August 2009,Farrer Primary School,Gov,Kindergarten,46
01 February 2009,Farrer Primary School,Gov,Kindergarten,44
10 February 2023,Farrer Primary School,Gov,Preschool,41
05 August 2022,Farrer Primary School,Gov,Preschool,42
18 February 2022,Farrer Primary School,Gov,Preschool,42
06 August 2021,Farrer Primary School,Gov,Preschool,42
19 February 2021,Farrer Primary School,Gov,Preschool,40
07 August 2020,Farrer Primary School,Gov,Preschool,44
19 February 2020,Farrer Primary School,Gov,Preschool,44
02 August 2019,Farrer Primary School,Gov,Preschool,45
20 February 2019,Farrer Primary School,Gov,Preschool,44
03 August 2018,Farrer Primary School,Gov,Preschool,41
21 February 2018,Farrer Primary School,Gov,Preschool,41
04 August 2017,Farrer Primary School,Gov,Preschool,49
15 February 2017,Farrer Primary School,Gov,Preschool,46
05 August 2016,Farrer Primary School,Gov,Preschool,45
17 February 2016,Farrer Primary School,Gov,Preschool,44
07 August 2015,Farrer Primary School,Gov,Preschool,49
18 February 2015,Farrer Primary School,Gov,Preschool,49
01 August 2014,Farrer Primary School,Gov,Preschool,50
19 February 2014,Farrer Primary School,Gov,Preschool,50
01 August 2013,Farrer Primary School,Gov,Preschool,50
01 February 2013,Farrer Primary School,Gov,Preschool,50
01 August 2012,Farrer Primary School,Gov,Preschool,49
01 February 2012,Farrer Primary School,Gov,Preschool,46
01 August 2011,Farrer Primary School,Gov,Preschool,50
01 February 2011,Farrer Primary School,Gov,Preschool,49
01 August 2010,Farrer Primary School,Gov,Preschool,50
01 February 2010,Farrer Primary School,Gov,Preschool,48
01 August 2009,Farrer Primary School,Gov,Preschool,46
01 February 2009,Farrer Primary School,Gov,Preschool,39
10 February 2023,Farrer Primary School,Gov,Year 1,41
05 August 2022,Farrer Primary School,Gov,Year 1,39
18 February 2022,Farrer Primary School,Gov,Year 1,38
06 August 2021,Farrer Primary School,Gov,Year 1,46
19 February 2021,Farrer Primary School,Gov,Year 1,46
07 August 2020,Farrer Primary School,Gov,Year 1,43
19 February 2020,Farrer Primary School,Gov,Year 1,42
02 August 2019,Farrer Primary School,Gov,Year 1,47
20 February 2019,Farrer Primary School,Gov,Year 1,47
03 August 2018,Farrer Primary School,Gov,Year 1,48
21 February 2018,Farrer Primary School,Gov,Year 1,44
04 August 2017,Farrer Primary School,Gov,Year 1,45
15 February 2017,Farrer Primary School,Gov,Year 1,43
